	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
Coeast	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Cowc	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cscu	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	2	0	1	0	0	1	1	0	0	1	0	1	2	3	0	0	0	0
Ctel	0	4	3	0	0	0	3	0	1	0	3	1	1	6	0	0	0	0	2	0	0	3	1	1	0	2	0	0	2	0	1	0	0	1	8	0	1	0	0	1	1	1	0	1	0	1
Dgig	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0
Dpul	0	3	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0
Drer	1	0	4	2	0	0	1	0	1	0	0	1	0	1	0	1	0	0	2	2	0	0	0	1	0	0	1	3	0	0	3	0	0	0	2	1	0	1	0	1	0	1	0	0	0	2
Drygla	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
Dugjap	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0
Exapal	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
Folcan	0	1	2	1	0	0	0	0	0	0	1	2	3	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	2	0	1
Galgal	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hduj	0	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hhon	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hsap	2	2	4	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
