gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000116	10	2	11	3	0	0	25	14
OG0000117	12	0	2	11	0	0	26	19
OG0000118	8	0	6	11	0	0	26	19
OG0000119	15	4	0	9	0	0	25	19
OG0000120	14	2	5	5	0	0	25	19
OG0000122	2	0	19	3	0	0	25	6
OG0000124	19	1	3	1	0	0	24	21
OG0000125	2	0	19	2	0	0	24	5
OG0000126	2	0	14	6	0	0	23	8
OG0000128	16	1	3	2	0	0	22	13
OG0000129	12	2	5	5	0	0	23	15
OG0000130	21	1	1	0	0	0	23	22
OG0000132	16	1	3	3	0	0	23	9
OG0000134	3	0	17	1	0	0	22	5
OG0000135	11	0	4	6	0	0	22	14
OG0000136	15	0	2	4	0	0	22	20
OG0000137	12	0	1	8	0	0	22	20
OG0000140	15	0	0	5	0	0	21	21
OG0000141	15	8	0	5	0	0	21	21
OG0000142	17	0	3	0	0	0	21	18
OG0000143	16	3	2	1	0	0	20	14
OG0000144	11	0	3	5	0	0	20	14
OG0000145	4	0	11	4	0	0	20	8
OG0000146	5	1	11	0	0	0	17	6
OG0000149	13	5	2	3	0	0	19	17
OG0000150	9	0	8	1	0	0	19	11
OG0000152	5	0	4	8	0	0	18	14
OG0000153	4	1	12	0	0	0	17	5
OG0000155	6	0	10	2	0	0	19	9
OG0000158	5	1	12	0	0	0	18	6
OG0000159	2	0	14	1	0	0	18	4
OG0000160	6	0	9	2	0	0	18	5
OG0000161	13	1	0	4	0	0	18	14
OG0000162	8	0	0	9	0	0	18	7
OG0000163	3	0	11	0	0	0	15	4
OG0000164	7	0	4	5	0	0	17	9
OG0000165	12	3	0	4	0	0	17	16
OG0000166	10	3	3	3	0	0	17	9
OG0000167	4	1	10	1	0	0	16	6
OG0000168	3	0	6	6	0	0	16	7
OG0000172	5	0	4	7	0	0	17	11
OG0000174	2	0	11	3	0	0	17	6
OG0000175	6	0	2	7	0	0	16	13
OG0000176	15	0	0	0	0	0	16	16
OG0000185	6	0	3	5	0	0	15	10
OG0000186	8	1	5	1	0	0	15	7
OG0000187	4	0	7	3	0	0	15	6
OG0000188	2	0	6	5	0	0	14	7
OG0000189	3	0	8	3	0	0	15	7
OG0000191	10	0	3	0	0	0	14	11
OG0000192	5	0	3	5	0	0	14	10
OG0000193	2	0	8	3	0	0	14	6
OG0000194	4	0	3	6	0	0	14	10
OG0000196	6	0	5	2	0	0	14	8
OG0000197	7	0	2	4	0	0	14	8
OG0000198	5	1	6	2	0	0	14	6
OG0000199	2	0	7	3	0	0	13	5
OG0000201	6	0	6	0	0	0	13	7
OG0000203	5	0	3	4	0	0	13	10
OG0000205	5	0	1	6	0	0	13	12
OG0000206	2	0	6	4	0	0	13	7
OG0000207	4	2	8	0	0	0	13	5
OG0000208	1	0	8	3	0	0	13	5
OG0000212	6	1	6	0	0	0	13	7
OG0000218	3	0	2	6	0	0	12	11
OG0000222	3	1	9	0	0	0	13	4
OG0000224	6	1	5	0	0	0	12	7
OG0000225	2	0	4	5	0	0	12	8
OG0000227	3	0	5	3	0	0	12	7
OG0000228	4	0	5	2	0	0	12	7
OG0000229	4	1	7	0	0	0	12	5
OG0000231	1	0	7	2	0	0	11	4
OG0000237	3	1	6	0	0	0	10	4
OG0000239	8	1	0	3	0	0	12	12
OG0000240	6	2	5	0	0	0	12	7
OG0000242	6	2	0	5	0	0	12	7
OG0000243	4	0	1	6	0	0	12	11
OG0000249	3	0	3	3	0	0	10	7
OG0000250	4	0	4	2	0	0	11	7
OG0000252	3	0	1	6	0	0	11	10
OG0000254	4	0	4	2	0	0	11	7
OG0000256	1	0	6	3	0	0	11	5
OG0000257	4	0	4	2	0	0	11	6
OG0000262	1	0	7	2	0	0	11	4
OG0000265	4	1	5	0	0	0	10	5
OG0000267	4	0	4	2	0	0	11	7
OG0000268	5	0	3	2	0	0	11	5
OG0000269	5	0	1	4	0	0	11	9
