	Acagra	Aedaeg	Ampfan	Anocar	Apimel	Apla	Aplcal	Beraby	Bflo	Bolinf	Bracal	Brumal	Bugner	Cgig	Chrper	Clim	Coeast	Cowc	Cscu	Ctel	Dgig	Dpul	Drer	Drygla	Dugjap	Exapal	Folcan	Galgal	Hduj	Hhon	Hsap	Hvul	Leuniv	Linana	Linlon	Mbre	Morvir	Nemnom	Ocar	Oikdio	Phoaus	Pricau	Ptyfla	Rhopro	Stycar	Tcas
Dugjap	0	1	1	1	0	0	0	0	1	0	3	0	1	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0	1	0
Exapal	1	3	1	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	0	2	0	2	2	1	2	0	0	2	0	0	0	0	2	1	0	0
Folcan	2	4	3	0	1	0	1	0	1	0	0	0	3	3	1	0	0	1	1	1	0	0	2	3	0	2	0	1	1	0	0	1	0	0	1	0	0	0	0	3	1	0	3	0	0	0
Galgal	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hduj	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
Hhon	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Hsap	1	2	3	2	0	0	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
Hvul	1	0	1	0	0	1	1	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0
Leuniv	1	2	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
Linana	0	3	1	0	2	0	1	1	1	2	0	0	3	1	0	0	1	1	2	1	0	0	1	0	2	0	0	0	2	0	0	0	1	0	6	1	0	1	0	0	0	1	1	0	0	2
Linlon	2	2	0	3	0	0	2	0	1	0	1	2	1	0	0	0	0	0	1	1	0	3	3	1	0	2	3	0	1	0	0	1	2	4	0	0	0	1	0	0	3	4	2	0	0	1
Mbre	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morvir	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemnom	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
Ocar	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Oikdio	1	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1
Phoaus	0	1	2	0	0	0	3	0	1	1	3	1	4	2	1	0	0	0	2	1	0	1	1	0	2	1	0	1	0	0	1	2	0	0	1	0	0	0	1	2	0	2	2	0	0	0
Pricau	0	1	1	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	3	0	0	1	0	1	0	1	1	1	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Ptyfla	0	1	6	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	1	2	1	0	0	0	0	0	0	3	1	0	2	0	0	2	0	3	0	1	1	3
Rhopro	0	2	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0
Stycar	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Tcas	1	1	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	1	1	0	1	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0
